#Data    ; Gap       ; Datasieving ; Buffer ; Performance
#Byte    ; Byte      ; on/off      ; MByte  ; MByte/s
32768    ; 16384     ; 1           ; 1      ; 64          
32768    ; 32768     ; 1           ; 1      ; 48          
32768    ; 32768     ; 1           ; 1      ; 48          
32768    ; 32768     ; 1           ; 1      ; 47          
32768    ; 32768     ; 1           ; 1      ; 49          
32768    ; 32768     ; 1           ; 1      ; 49          
32768    ; 65536     ; 1           ; 1      ; 19          
32768    ; 65536     ; 1           ; 1      ; 20          
32768    ; 65536     ; 1           ; 1      ; 19          
32768    ; 65536     ; 1           ; 1      ; 19          
32768    ; 65536     ; 1           ; 1      ; 19          
32768    ; 98304     ; 1           ; 1      ; 17          
32768    ; 98304     ; 1           ; 1      ; 16          
32768    ; 98304     ; 1           ; 1      ; 17          
32768    ; 98304     ; 1           ; 1      ; 16          
32768    ; 98304     ; 1           ; 1      ; 17          
32768    ; 131072    ; 1           ; 1      ; 17          
32768    ; 131072    ; 1           ; 1      ; 17          
32768    ; 131072    ; 1           ; 1      ; 16          
32768    ; 131072    ; 1           ; 1      ; 17          
32768    ; 131072    ; 1           ; 1      ; 17          
32768    ; 163840    ; 1           ; 1      ; 17          
32768    ; 163840    ; 1           ; 1      ; 16          
32768    ; 163840    ; 1           ; 1      ; 16          
32768    ; 163840    ; 1           ; 1      ; 15          
32768    ; 163840    ; 1           ; 1      ; 16          
32768    ; 196608    ; 1           ; 1      ; 13          
32768    ; 196608    ; 1           ; 1      ; 14          
32768    ; 196608    ; 1           ; 1      ; 14          
32768    ; 196608    ; 1           ; 1      ; 14          
32768    ; 196608    ; 1           ; 1      ; 14          
32768    ; 229376    ; 1           ; 1      ; 11          
32768    ; 229376    ; 1           ; 1      ; 12          
32768    ; 229376    ; 1           ; 1      ; 12          
32768    ; 229376    ; 1           ; 1      ; 11          
32768    ; 229376    ; 1           ; 1      ; 12          
32768    ; 262144    ; 1           ; 1      ; 8           
32768    ; 262144    ; 1           ; 1      ; 8           
32768    ; 262144    ; 1           ; 1      ; 8           
32768    ; 262144    ; 1           ; 1      ; 9           
32768    ; 262144    ; 1           ; 1      ; 8           
32768    ; 294912    ; 1           ; 1      ; 10          
32768    ; 294912    ; 1           ; 1      ; 10          
32768    ; 294912    ; 1           ; 1      ; 10          
32768    ; 294912    ; 1           ; 1      ; 9           
32768    ; 294912    ; 1           ; 1      ; 10          
32768    ; 327680    ; 1           ; 1      ; 10          
32768    ; 327680    ; 1           ; 1      ; 10          
32768    ; 327680    ; 1           ; 1      ; 10          
32768    ; 327680    ; 1           ; 1      ; 9           
32768    ; 327680    ; 1           ; 1      ; 9           
32768    ; 360448    ; 1           ; 1      ; 9           
32768    ; 360448    ; 1           ; 1      ; 9           
32768    ; 360448    ; 1           ; 1      ; 8           
32768    ; 360448    ; 1           ; 1      ; 9           
32768    ; 360448    ; 1           ; 1      ; 9           
32768    ; 0         ; 0           ; 1      ; 97          
32768    ; 0         ; 0           ; 1      ; 98          
32768    ; 0         ; 0           ; 1      ; 99          
32768    ; 0         ; 0           ; 1      ; 97          
32768    ; 0         ; 0           ; 1      ; 97          
32768    ; 512       ; 0           ; 1      ; 44          
32768    ; 512       ; 0           ; 1      ; 44          
32768    ; 512       ; 0           ; 1      ; 44          
32768    ; 512       ; 0           ; 1      ; 44          
32768    ; 512       ; 0           ; 1      ; 44          
32768    ; 1024      ; 0           ; 1      ; 45          
32768    ; 1024      ; 0           ; 1      ; 45          
32768    ; 1024      ; 0           ; 1      ; 45          
32768    ; 1024      ; 0           ; 1      ; 45          
32768    ; 1024      ; 0           ; 1      ; 45          
32768    ; 2048      ; 0           ; 1      ; 45          
32768    ; 2048      ; 0           ; 1      ; 45          
32768    ; 2048      ; 0           ; 1      ; 46          
32768    ; 2048      ; 0           ; 1      ; 46          
32768    ; 2048      ; 0           ; 1      ; 46          
32768    ; 4096      ; 0           ; 1      ; 47          
32768    ; 4096      ; 0           ; 1      ; 47          
32768    ; 4096      ; 0           ; 1      ; 47          
32768    ; 4096      ; 0           ; 1      ; 47          
32768    ; 4096      ; 0           ; 1      ; 47          
32768    ; 8192      ; 0           ; 1      ; 50          
32768    ; 8192      ; 0           ; 1      ; 50          
32768    ; 8192      ; 0           ; 1      ; 50          
32768    ; 8192      ; 0           ; 1      ; 50          
32768    ; 8192      ; 0           ; 1      ; 50          
32768    ; 16384     ; 0           ; 1      ; 52          
32768    ; 16384     ; 0           ; 1      ; 52          
32768    ; 16384     ; 0           ; 1      ; 52          
32768    ; 16384     ; 0           ; 1      ; 53          
32768    ; 16384     ; 0           ; 1      ; 53          
32768    ; 32768     ; 0           ; 1      ; 49          
32768    ; 32768     ; 0           ; 1      ; 48          
32768    ; 32768     ; 0           ; 1      ; 49          
32768    ; 32768     ; 0           ; 1      ; 49          
32768    ; 32768     ; 0           ; 1      ; 49          
32768    ; 65536     ; 0           ; 1      ; 12          
32768    ; 65536     ; 0           ; 1      ; 12          
32768    ; 65536     ; 0           ; 1      ; 12          
32768    ; 65536     ; 0           ; 1      ; 12          
32768    ; 65536     ; 0           ; 1      ; 11          
32768    ; 98304     ; 0           ; 1      ; 12          
32768    ; 98304     ; 0           ; 1      ; 12          
32768    ; 98304     ; 0           ; 1      ; 12          
32768    ; 98304     ; 0           ; 1      ; 12          
32768    ; 98304     ; 0           ; 1      ; 13          
32768    ; 131072    ; 0           ; 1      ; 12          
32768    ; 131072    ; 0           ; 1      ; 12          
32768    ; 131072    ; 0           ; 1      ; 12          
32768    ; 131072    ; 0           ; 1      ; 12          
32768    ; 131072    ; 0           ; 1      ; 11          
32768    ; 163840    ; 0           ; 1      ; 13          
32768    ; 163840    ; 0           ; 1      ; 12          
32768    ; 163840    ; 0           ; 1      ; 12          
32768    ; 163840    ; 0           ; 1      ; 12          
32768    ; 163840    ; 0           ; 1      ; 12          
32768    ; 196608    ; 0           ; 1      ; 13          
32768    ; 196608    ; 0           ; 1      ; 12          
32768    ; 196608    ; 0           ; 1      ; 13          
32768    ; 196608    ; 0           ; 1      ; 12          
32768    ; 196608    ; 0           ; 1      ; 12          
32768    ; 229376    ; 0           ; 1      ; 14          
32768    ; 229376    ; 0           ; 1      ; 13          
32768    ; 229376    ; 0           ; 1      ; 13          
32768    ; 229376    ; 0           ; 1      ; 14          
32768    ; 229376    ; 0           ; 1      ; 13          
32768    ; 262144    ; 0           ; 1      ; 11          
32768    ; 262144    ; 0           ; 1      ; 11          
32768    ; 262144    ; 0           ; 1      ; 11          
32768    ; 262144    ; 0           ; 1      ; 11          
32768    ; 262144    ; 0           ; 1      ; 11          
32768    ; 294912    ; 0           ; 1      ; 11          
32768    ; 294912    ; 0           ; 1      ; 10          
32768    ; 294912    ; 0           ; 1      ; 10          
32768    ; 294912    ; 0           ; 1      ; 11          
32768    ; 294912    ; 0           ; 1      ; 10          
32768    ; 327680    ; 0           ; 1      ; 13          
32768    ; 327680    ; 0           ; 1      ; 13          
32768    ; 327680    ; 0           ; 1      ; 12          
32768    ; 327680    ; 0           ; 1      ; 12          
32768    ; 327680    ; 0           ; 1      ; 12          
32768    ; 360448    ; 0           ; 1      ; 12          
32768    ; 360448    ; 0           ; 1      ; 12          
